"REF_DATE","GEO","DGUID","Type of direct investment","Countries","Type of direct investment flows","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","6970","","","","0"
"2018-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","3806","","","","0"
"2018-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","5086","","","","0"
"2018-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","17742","","","","0"
"2018-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","6735","","","","0"
"2019-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","16905","","","","0"
"2019-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","11129","","","","0"
"2019-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","6607","","","","0"
"2019-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","3724","","","","0"
"2020-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","6604","","","","0"
"2020-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","3509","","","","0"
"2020-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","2328","","","","0"
"2020-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","6350","","","","0"
"2021-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","150","","","","0"
"2021-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","6668","","","","0"
"2021-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","11459","","","","0"
"2021-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","45814","","","","0"
"2022-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","2876","","","","0"
"2022-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","13738","","","","0"
"2022-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","7838","","","","0"
"2022-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","2747","","","","0"
"2023-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","40572","","","","0"
"2023-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","5079","","","","0"
"2023-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","6724","","","","0"
"2023-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","6187","","","","0"
"2024-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","16583","","","","0"
